"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Efficient Dynamic Evolution of Service Composition","C. Lv; W. Jiang; S. Hu; J. Wang; G. Lu; Z. Liu","School of Information Science and Engineering, Shandong Normal University, China; Greatwall Drilling Company R&D Academy of Well Logging, CNPC, Beijing, China; Institute of Information Engineering, Chinese Academy of Sciences, Beijing, China; Department of Information Technology, State Grid Corporation of China, Beijing; School of Mechanical Engineering, Shandong University, China; Chinese Academy of Sciences, Institute of Computing Technology, Beijing, China","IEEE Transactions on Services Computing","6 Aug 2018","2018","11","4","630","643","Current QoS-aware automatic service composition queries over a network of web services are often one-time in nature. After a network of web services is built, such queries are issued once, and answers are found from the scratch. The underlying assumption is that the participating web services are rather static, which means that their functional and non-functional parameters seldom change. However, such an assumption is often baseless. New services come and go, service APIs change gradually, and QoS values fluctuate in practice. Therefore, a support for efficiently adapting service composition is desired. In this paper, we propose an event driven continuous query algorithm to intelligently cope with different types of dynamic services, and thus enable evolution of service composition. Evaluation using both real QoS data and synthetic web service data shows its superior performance, compared with the state-of-the-art solution which won the performance championship of Web Service Challenge in 2009 and 2010. Moreover, we generalize a new graph problem: dynamic single-source optimal-Directed Acyclic Graphs (DAG) problem based on the above work. It is argued that API recommendation for framework evolution, as another typical application, could also be modeled and addressed efficiently using the proposed new graph approach.","1939-1374","","10.1109/TSC.2015.2466544","National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7185446","Automatic service composition;evolution;continuous query","Quality of service;Web services;Heuristic algorithms;Indexes;Meteorology;Time factors;Cities and towns","application program interfaces;directed graphs;quality of service;query processing;Web services","QoS values;continuous query algorithm;QoS data;synthetic web service data;service API;service composition;QoS-aware automatic service composition;Web services;dynamic single-source optimal-directed acyclic graphs;DAG problem;API recommendation","","3","","51","","11 Aug 2015","","","IEEE","IEEE Journals"
"Semantic Features for Food Image Recognition with Geo-Constraints","X. Song; S. Jiang; R. Xu; L. Herranz","Key Lab. of Intell. Inf. Process., Inst. of Comput. Technol., Beijing, China; Key Lab. of Intell. Inf. Process., Inst. of Comput. Technol., Beijing, China; Key Lab. of Intell. Inf. Process., Inst. of Comput. Technol., Beijing, China; Key Lab. of Intell. Inf. Process., Inst. of Comput. Technol., Beijing, China","2014 IEEE International Conference on Data Mining Workshop","29 Jan 2015","2014","","","1020","1025","Food-related photos have become increasingly very popular, due to social networks, food recommendation and dietary assessment systems. Reliable annotation is essential in those systems, but user-contributed tags are often non-informative and inconsistent, and unconstrained automatic food recognition still has relatively low accuracy. Most works focus on exploiting only the visual content while ignoring the context. In this paper, we improve the food image recognition with using two novel components two kinds of context. Firstly, different from the conventional approach representing image in a visual feature space the visual features, we try to represent the images in the a semantic space (also called semantic simplex), where we model aiming at modeling more context information between each categories. Secondly, we explore leveraging leverage the geographic context of the user and information about geolocation and information about restaurants to simplify the classification problem. Thus, We propose a food recognition framework for the food recognition based on these two kinds of context, based on including semantic features learning and location-adaptive classification. We collected a restaurant-oriented food dataset with food images, dish tags and restaurant-level information, such as the menu and geographic location. Experiments on this dataset show that exploiting geolocation improves around 30% the recognition performance, and the semantic feature has a gain of 3%-10% to the other visual features.","2375-9259","978-1-4799-4274-9","10.1109/ICDMW.2014.144","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7022708","semantic featuures;location-adaptive;food image recognition","Semantics;Visualization;Kernel;Image recognition;Vectors;Context;Support vector machines","feature extraction;food products;image recognition;image representation;social networking (online)","food image recognition;geo-constraints;food-related photo;social network;food recommendation;dietary assessment system;user-contributed tags;visual feature;semantic space;semantic simplex;semantic feature learning;location-adaptive classification;restaurant-oriented food dataset;dish tags;restaurant-level information;geolocation","","2","1","28","","29 Jan 2015","","","IEEE","IEEE Conferences"
"Ranking-based Implicit Regularization for One-Class Collaborative Filtering","D. Lian; J. Chen; K. Zheng; E. Chen; X. Zhou","School of Big Data, University of Science and Technology of China, 12652 Hefei, Anhui, China, (e-mail: dove.ustc@gmail.com); School of Computer Science and Engineering, University of Electronic Science and Technology of China, 12599 Chengdu, Sichuan, China, (e-mail: chenjin.uestc@gmail.com); School of Computer Science and Engineering, University of Electronic Science and Technology of China, 12599 Chengdu, Sichuan, China, (e-mail: zhengkai@uestc.edu.cn); School of Computer Science, University of Science and Technology of China, Hefei, Anhui, China, (e-mail: cheneh@ustc.edu.cn); School of Info. Technology & Electrical Engineering, The University of Queensland, Brisbane, Queensland, Australia, 4072 (e-mail: zxf@itee.uq.edu.au)","IEEE Transactions on Knowledge and Data Engineering","","2021","PP","99","1","1","One-class collaborative filtering (OCCF) problems are prevalent in real-world recommender systems, such as news and music recommendation, but suffer from sparsity issues and particularly lack negatively preferred items. To address the challenge, the state-of-the-art algorithms assigned uninteracted items smaller weights of being negative and performed low-rank approximation over a user-item interaction matrix. However, the prior ratings of uninteracted items are usually set to zero but may not well-defined. To avert the prior ratings of uninteracted items, in this paper, we propose a novel ranking-based implicit regularizer by hypothesizing that users preference scores for uninteracted items are close to each other. The regularizer is then used in a ranking-based OCCF framework to penalize large difference of preference scores between uninteracted items. To optimize model parameters in this framework, we develop a scalable alternating least square algorithm and coordinate descent algorithm, whose time complexity is linearly proportional to data size. Finally, we extensively evaluate the proposed algorithms with six real-world datasets. The results show that the proposed regularizer significantly improves recommendation quality of ranking-based OCCF algorithms, such as BPRMF and RankALS. Moreover, the ranking-based framework with the proposed regularizer outperforms the state-of-the-art recommendation algorithms for implicit feedback.","1558-2191","","10.1109/TKDE.2021.3069057","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9387576","One-class collaborative filtering;implicit regularization;item recommendation;coordinate descent;alternating least square","Optimization;Recommender systems;Collaboration;Time complexity;Computer science;Task analysis;Stochastic processes","","","","","","","IEEE","26 Mar 2021","","","IEEE","IEEE Early Access Articles"
"Android based Emotion Detection Using Convolutions Neural Networks","R. Qayyum; V. Akre; T. Hafeez; H. Ali Khattak; A. Nawaz; S. Ahmed; P. Mohindru; D. Khan; K. ur Rahman","MCS National University of Sciences & Technology,Department of Software Engineering,Islamabad,Pakistan; Dubai Women’s College Higher Colleges of Technology,Dubai,UAE; COMSATS University,Department of Computer Science,Islamabad,Pakistan; SEECS National University of Sciences & Technology,Department of Computing,Islamabad,Pakistan; Higher College of Technology,Department of Electrical Engineering,Dubai,UAE; Iqra National University,Department of Computer Science,Peshawar,Pakistan; Punjabi University,Electronics & Communications Engineering,Patiala,India; Capital University of Science & Technology,Department of Computer Science,Islamabad,Pakistan; Northwest Normal University,Deptt. of Comp. Sci. & Tech.,Lanzhou,China","2021 International Conference on Computational Intelligence and Knowledge Economy (ICCIKE)","28 Apr 2021","2021","","","360","365","With the advent of improved mobile processing capabilities we have seen many novel and useful applications. Among other usecases is the utilization of graphics capabilities of on-board computing capabilities. The study evaluates a new trend of functionality that has been considered in the emotion detection field. The proposed study uses Convolutional Neural Network (CNN) and Recurrent Neural Network (RNN) to conduct a comparison of which deep learning technique works best for emotion recognition. Both neural network are trained using FER2013 dataset of Kaggle with seven emotion classes. The trained models are evaluated where CNN attains the accuracy of 65% and RNN lack behind with the accuracy of 41%. The trained models are then applied using music player based on one’s facial expressions .The user gets the music according to the mood in two forms. Thus with the application user is provided with new and interactive way of getting the music that provides new and latest music and gets an entertaining music app. The Final Product has great scope as the end product can be modified and expanded where music recommendation can be exchanged with other recommendation systems like news, content etc. according to the emotion fetched.","","978-1-6654-2921-4","10.1109/ICCIKE51210.2021.9410768","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9410768","Convolutional Neural Network (CNN);Recurrent Neural Network (RNN);Convolutional Long Short Term Memory (ConvLSTM) Tensorflow;Emotion Detection;Android;Media Player","Recurrent neural networks;Tensors;Mood;Biological system modeling;Cameras;Libraries;Convolutional neural networks","","","","","","20","","28 Apr 2021","","","IEEE","IEEE Conferences"
"Geolocalized Modeling for Dish Recognition","R. Xu; L. Herranz; S. Jiang; S. Wang; X. Song; R. Jain","Key Lab of Intelligent Information Processing of Chinese Academy of Sciences (CAS), Institute of Computing Technology, CAS, Beijing, China; Key Lab of Intelligent Information Processing of Chinese Academy of Sciences (CAS), Institute of Computing Technology, CAS, Beijing, China; Key Lab of Intelligent Information Processing of Chinese Academy of Sciences (CAS), Institute of Computing Technology, CAS, Beijing, China; Key Lab of Intelligent Information Processing of Chinese Academy of Sciences (CAS), Institute of Computing Technology, CAS, Beijing, China; Key Lab of Intelligent Information Processing of Chinese Academy of Sciences (CAS), Institute of Computing Technology, CAS, Beijing, China; University of California, Irvine, CA, USA","IEEE Transactions on Multimedia","15 Jul 2015","2015","17","8","1187","1199","Food-related photos have become increasingly popular , due to social networks, food recommendations, and dietary assessment systems. Reliable annotation is essential in those systems, but unconstrained automatic food recognition is still not accurate enough. Most works focus on exploiting only the visual content while ignoring the context. To address this limitation, in this paper we explore leveraging geolocation and external information about restaurants to simplify the classification problem. We propose a framework incorporating discriminative classification in geolocalized settings and introduce the concept of geolocalized models, which, in our scenario, are trained locally at each restaurant location. In particular, we propose two strategies to implement this framework: geolocalized voting and combinations of bundled classifiers. Both models show promising performance, and the later is particularly efficient and scalable. We collected a restaurant-oriented food dataset with food images, dish tags, and restaurant-level information, such as the menu and geolocation. Experiments on this dataset show that exploiting geolocation improves around 30% the recognition performance, and geolocalized models contribute with an additional 3-8% absolute gain, while they can be trained up to five times faster.","1941-0077","","10.1109/TMM.2015.2438717","National Basic Research Program of China; National Natural Science Foundation of China; National Hi-Tech Development Program; CAS Presidents International Fellowship Initiative; Lenovo Outstanding Young Scientists Program; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7114316","Food recognition;geolocation;image tagging;mobile applications","Geology;Visualization;Context;Image recognition;Tagging;Accuracy;Social network services","face recognition;visual databases","geolocalized modeling;dish recognition;food-related photos;social networks;food recommendations;dietary assessment systems;unconstrained automatic food recognition;discriminative classification;restaurant location;food dataset;food images;dish tags","","29","2","35","","1 Jun 2015","","","IEEE","IEEE Journals"
"A Modified MUSIC Algorithm for Direction of Arrival Estimation in the Presence of Antenna Array Manifold Mismatch","A. L. Kintz; I. J. Gupta","Department of Electrical and Computer, Engineering ElectroScience Laboratory, The Ohio State University, Columbus, OH, USA; Department of Electrical and Computer, Engineering ElectroScience Laboratory, The Ohio State University, Columbus, OH, USA","IEEE Transactions on Antennas and Propagation","28 Oct 2016","2016","64","11","4836","4847","We introduce a modified multiple signal classification (MUSIC) algorithm to estimate the directions of arrival (DOAs) of multiple radio frequency signals. We specifically consider an antenna array with an imperfectly calibrated array response. The modified MUSIC algorithm estimates the DOA of each signal individually after attempting to null the other signals that are present. We compare the new approach to the conventional MUSIC algorithm in simulations, and show that the new approach leads to improved performance. The new approach converges quickly and produces DOA estimates with smaller mean error and standard deviation than MUSIC over a range of incident signal separations. We recommend our approach for systems with challenging antenna placements, a time varying host platform, and limited processing capabilities.","1558-2221","","10.1109/TAP.2016.2600700","NASA Space Technology Research Fellowship; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7544596","Antenna manifold mismatch;direction of arrival (DOA) estimation;multiple signal classification (MUSIC)","Multiple signal classification;Antenna arrays;Direction-of-arrival estimation;Manifolds;Signal resolution;Estimation","antenna arrays;direction-of-arrival estimation;signal classification;source separation","MUSIC;direction of arrival estimation;antenna array manifold mismatch;modified multiple signal classification algorithm;multiple radio frequency signals;mean error;standard deviation;signal separations","","20","","24","","16 Aug 2016","","","IEEE","IEEE Journals"
"MTAR: A recommendation algorithm for multi-type academic resources","L. Yin; B. Liu; Y. Wang","College of Information Science and Engineering, Ningbo University, Ningbo 315211, China; College of Information Science and Engineering, Ningbo University, Ningbo 315211, China; Library and Information Center, Ningbo University, Ningbo 315211, China","2017 International Conference on Machine Learning and Cybernetics (ICMLC)","16 Nov 2017","2017","1","","8","14","A novel academic recommendation algorithm, MTAR (multi-type academic recommendation), which integrates resource content and user behaviors, is proposed to process five types of academic resources at the same time, which can quickly and precisely recommend academic resources of interest to users. The MTAR algorithm profiles five kinds of academic resources from four features including resource type, disciplinary distribution, keyword distribution and LDA topic distribution. After fusing user behaviors and resource profiles, the users' preferences are modeled. Finally, the top-N recommendation is made according to user's interest value of academic resources. The recommendation results are evaluated by precision, recall, and F1-score. As expected, the experimental results show that the MTAR algorithm is better, and prove that the MTAR algorithm is effective.","2160-1348","978-1-5386-0408-3","10.1109/ICMLC.2017.8107735","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8107735","Academic recommendation;User behavior;Resource content;Multi-type;Interest value","Libraries;Patents;Analytical models;Computer science;Search engines;Data models;Software","","","","","","17","","16 Nov 2017","","","IEEE","IEEE Conferences"
"Overlapping Community Detecting Based on Complete Bipartite Graphs in Micro-Bipartite Network Bi-Egonet","F. Chang; B. Zhang; Y. Zhao; S. Wu; K. Yoshigoe","School of Computer Engineering and Science, Shanghai University, Shanghai, China; School of Computer Engineering and Science, Shanghai University, Shanghai, China; School of Computer Engineering and Science, Shanghai University, Shanghai, China; School of Mathematics and Statistics, Kashi University, Xinjiang, China; Faculty of Information Networking for Innovation and Design (INIAD), Toyo University, Tokyo, Japan","IEEE Access","22 Jul 2019","2019","7","","91488","91498","Community detection has become a hot topic in complex networks. It plays an important role in information recommendation and public opinion control. Bipartite network, as a special complex network, reflects the characteristics of a kind of network in our life truly and objectively. Therefore, detecting community structure in bipartite networks is of great significance and has practical value. In this paper, we first introduce two concepts: a) a micro-bipartite network model Bi-EgoNet which can be used to analyze bipartite network from a micro view to reduce the complexity of structure in bipartite networks, and b) a complete bipartite graph that is a special bipartite graph with the indivisible property. Then, we propose a novel overlapping community detection algorithm based on a complete bipartite graph in micro-bipartite network Bi-EgoNet (CBG&BEN), which combines advantages of both a complete bipartite graph and Bi-EgoNet to get an optimal community structure. The CBG&BEN is evaluated on accuracy and effectiveness in several synthetic and real-world bipartite networks. The CBG&BEN is compared with other excellent existing algorithms, and our experimental results demonstrated that CBG&BEN is better at detecting overlapping community structure in bipartite networks.","2169-3536","","10.1109/ACCESS.2019.2926987","Natural Science Foundation of Xinjiang Province; National Key R&D Program of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8755979","Bipartite networks;complete bipartite graph;overlapping community;complex network","Bipartite graph;Complex networks;Detection algorithms;Image edge detection;Complexity theory;Microscopy;Approximation algorithms","complex networks;graph theory;network theory (graphs);recommender systems;social networking (online)","complete bipartite graph;special complex network;special bipartite graph;microbipartite network Bi-EgoNet;synthetic world bipartite networks;real-world bipartite networks;overlapping community detection algorithm;&BEN;information recommendation;public opinion control","","","","50","CCBY","5 Jul 2019","","","IEEE","IEEE Journals"
"KB-Transformer: Incorporating Knowledge into End-to-End Task-Oriented Dialog Systems","H. E.; W. Zhang; M. Song","Beijing University of Posts and Telecommunications, China; Beijing University of Posts and Telecommunications, China; Beijing University of Posts and Telecommunications, China","2019 15th International Conference on Semantics, Knowledge and Grids (SKG)","23 Mar 2020","2019","","","44","48","The following topics are dealt with: pattern classification; text analysis; graph theory; learning (artificial intelligence); natural language processing; recommender systems; knowledge based systems; social networking (online); sentiment analysis; probability.","2325-0623","978-1-7281-5823-5","10.1109/SKG49510.2019.00016","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9044058","task oriented dialogue systems;semantic encoding;key value memory network;transformer","","graph theory;learning (artificial intelligence);natural language processing;pattern classification;text analysis","pattern classification;text analysis;graph theory;learning (artificial intelligence);natural language processing;recommender systems;knowledge based systems;social networking (online);sentiment analysis;probability","","","","19","","23 Mar 2020","","","IEEE","IEEE Conferences"
"Evidence-Based Mapping between the Theory of Multiple Intelligences and Game Mechanics for the Purpose of Player-Centered Serious Game Design","P. Sajjadi; J. Vlieghe; O. De Troyer","Dept. of .Comput. Sci., WISE Vrije Univ., Brussels, Belgium; Dept. of .Comput. Sci., WISE Vrije Univ., Brussels, Belgium; Dept. of .Comput. Sci., WISE Vrije Univ., Brussels, Belgium","2016 8th International Conference on Games and Virtual Worlds for Serious Applications (VS-GAMES)","18 Oct 2016","2016","","","1","8","In the context of games for learning, it is argued that taking individual differences among players into consideration during game design can be beneficial for the game and/or learning experience. Researchers have studied a variety of factors that can be used for taking individual differences among players into consideration. Although research work indicates that the intelligence levels according to the theory of Multiple Intelligences may be a promising direction to follow, this direction is among the least explored ones. The research presented in this paper explores the applicability of the theory of Multiple Intelligences for personalized and player-centered (serious) game design using empirical evidence. Our results show that there is a correlation between gamers' intelligences, their preference for games, and game mechanics. To release the results to the game development community, a kind of recommendation system has been developed that provides information about appropriate and non-appropriated game mechanics for different intelligence dimensions.","","978-1-5090-2722-4","10.1109/VS-GAMES.2016.7590348","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7590348","","Games;Music;Context;Correlation;Pragmatics;Computers;Sensitivity","human computer interaction;recommender systems;serious games (computing)","evidence-based mapping;multiple intelligences theory;player-centered serious game design;personalized game design;gamers intelligences;gamers preference;game mechanics;recommendation system","","8","","33","","18 Oct 2016","","","IEEE","IEEE Conferences"
"Smart wardrobe system based on Android platform","Hao Peifeng; Cui Yuzhe; Song Jingping; Hu Zhaomu","Software College, Northeastern University, Shenyang, China; Software College, Northeastern University, Shenyang, China; Software College, Northeastern University, Shenyang, China; Software College, Northeastern University, Shenyang, China","2016 IEEE International Conference on Cloud Computing and Big Data Analysis (ICCCBDA)","4 Aug 2016","2016","","","279","285","The recognition and color processing of video complex object is now a research focus in contemporary computer science, the technology is widely used in various areas of society. In this article, we individually designed the system framework of Android-based client and OpenStack-based SSH server, the system has achieved functions include the management of personal clothes, dress collocation, intelligent recommendation based on user's stature, user's similarity, dress pattern, real-time weather and other multi-dimensional factors and so forth. We established database for data storage and backup in both server-side and client-side and designed a complete data synchronization mechanism, so the real-time data can be synchronized to the local as user switches the device and account. Some frequently used data in the mobile terminal has a local cache in different ways and as a result the user can still use all the basic functions offline. The works with high complexity like image computation are all processed at server-side mounted on a cloud computing platform. In this system, basic data including garments and matches are all users' information assets, and a large-scale small data will take shape when the number of users reaches a certain level. The system protects their privacy.","","978-1-5090-2594-7","10.1109/ICCCBDA.2016.7529571","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7529571","Android;small data;cloud compute;clothing optimization;system design","Androids;Humanoid robots;Switches;Privacy;Mobile communication;Fitting;Databases","Android (operating system);cache storage;client-server systems;clothing;cloud computing;image colour analysis;mobile computing;object recognition;recommender systems;synchronisation;video signal processing","Android platform;smart wardrobe system;video complex object recognition;video complex object color processing;Android-based client;OpenStack-based SSH server;personal clothes;dress collocation;intelligent recommendation;user stature;user similarity;dress pattern;real-time weather;multidimensional factors;data storage;data synchronization;mobile terminal;local cache;cloud computing;garments;user information assets;large-scale small data","","3","","17","","4 Aug 2016","","","IEEE","IEEE Conferences"
"Performance of macro-scale molecular communications with sensor cleanse time","S. Wang; W. Guo; S. Qiu; M. D. McDonnell","Institute for Telecommunications Research, University of South Australia, Australia; School of Engineering, The University of Warwick, United Kingdom; School of Engineering, The University of Warwick, United Kingdom; Institute for Telecommunications Research, University of South Australia, Australia","2014 21st International Conference on Telecommunications (ICT)","30 Jun 2014","2014","","","363","368","In this paper, we consider a molecular diffusion based communications link that conveys information on the macro-scale (several metres). The motivation is to apply molecular-based communications to challenging electromagnetic environments. We first derive a novel capture probability expression of a finite sized receiver. The paper then introduces the concept of time-aggregated molecular noise at the receiver as a function of the rate at which the sensor can self-cleanse. The resulting inter-symbol-interference is expressed as a function of the sensor cleanse time, and the performance metrics of bit error rate, throughput and round-trip-time are derived. The results show that the performance is very sensitive to the sensor cleanse time and the drift velocity. The paper concludes with recommendations on the design of a real communication link based on these findings and applies the concepts to a test-bed.","","978-1-4799-5141-3","10.1109/ICT.2014.6845140","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6845140","","Receivers;Molecular communication;Bit error rate;Telecommunications;Noise;Electron mobility;Transmitters","error statistics;intersymbol interference;molecular communication (telecommunication);receivers;sensors;telecommunication links","drift velocity;round-trip-time;bit error rate performance metrics;intersymbol interference;time-aggregated molecular noise;receiver capture probability expression;electromagnetic environments;molecular diffusion based communication link;sensor cleanse time;macroscale molecular communication performance","","11","","18","","30 Jun 2014","","","IEEE","IEEE Conferences"
"Fully Automated Learning for Application-Specific Web Video Classification","C. Verma; S. Dey","Dept. of Electr. & Comput. Eng., Univ. of California San Diego, La Jolla, CA, USA; Dept. of Electr. & Comput. Eng., Univ. of California San Diego, La Jolla, CA, USA","2013 IEEE/WIC/ACM International Joint Conferences on Web Intelligence (WI) and Intelligent Agent Technologies (IAT)","23 Dec 2013","2013","1","","307","314","Personalization applications such as content recommendations, product recommendations and advertisements, and social network related recommendations, can be quite beneficial for both service providers and users. Such applications need to understand user preferences in order to provide customized services. As user engagement with web videos has grown significantly, understanding user preferences based on videos viewed looks promising. The above requires ability to classify web videos into a set of categories appropriate for the personalization application. However, such categories may be substantially different from common categories like Sports, Music, Comedy, etc. used by video sharing websites, leading to lack of labeled training videos for such categories. In this paper, we study the feasibility and effectiveness of a fully automated framework to obtain training videos to enable classification of web videos to any arbitrary set of categories, as desired by the personalization application. We investigate the desired properties in training data that can lead to high performance of the trained classification models. We then develop an approach to identify and score keywords based on their suitability to retrieve training videos, with the desired properties, for the specified set of categories. Experimental results on several sets of categories demonstrate the ability of the proposed approach to obtain effective training data, and hence achieve high video classification performance.","","978-0-7695-5145-6","10.1109/WI-IAT.2013.44","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6690030","Classification;Internet Videos;Keywords;Training Data","Training;Pediatrics;Training data;Clothing;Complexity theory;Social network services;Manuals","image classification;Internet;learning (artificial intelligence);video retrieval","automated learning;application-specific Web video classification;personalization applications;user preferences;customized services;video sharing Websites;training data;keyword identification;keyword scoring;training video retrieval","","1","","16","","23 Dec 2013","","","IEEE","IEEE Conferences"
"Distributed Triangle Counting Algorithms in Simple Graph Stream","M. Yu; C. Song; J. Gu; M. Liu",University of Electronic Science and Technology of China; University of Electronic Science and Technology of China; University of Electronic Science and Technology of China; University of Electronic Science and Technology of China,"2019 IEEE 25th International Conference on Parallel and Distributed Systems (ICPADS)","30 Jan 2020","2019","","","294","301","Recently, the counting algorithm of local topology structures, such as triangles, has been widely used in social network analysis, recommendation systems, user portraits and other fields. At present, one-pass streaming algorithm for counting global and local triangles has been widely studied, and most researches focus on the single-machine streaming algorithm in a 'offline+batch processing' mode. However, researches on distributed online algorithm on multiple machines are still in its infancy, and this stage has not been thoroughly studied. In this paper, we investigate the triangle counting problem in large-scale simple undirected graphs whose edges arrive as a stream. We propose two distributed online streaming algorithms to estimate the global number of triangles, which are based on the current best performance sampling-based streaming algorithm. We mainly realize the reasonable partition of the graph stream, so that each worker independently estimates the number of triangles in a subgraph of the graph stream. Experimental results show that our algorithms reduce the estimation error and are several times more accurate than state-of-the-art streaming algorithms.","1521-9097","978-1-7281-2583-1","10.1109/ICPADS47876.2019.00049","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8975766","Approximate algorithm;distributed streaming algorithm;graph algorithm;graph stream;triangle counting algorithm","","approximation theory;distributed algorithms;graph theory;network theory (graphs)","user portraits;one-pass streaming algorithm;global triangles;local triangles;single-machine streaming algorithm;offline+batch processing;distributed online algorithm;multiple machines;distributed triangle counting algorithms;simple graph stream;local topology structures;social network analysis;recommendation systems;large-scale simple undirected graphs;sampling-based streaming algorithm","","1","","14","","30 Jan 2020","","","IEEE","IEEE Conferences"
"Research on Schedulability of Partition Scheduling for IMA","M. Wan; S. Tian","Inst. of Eng., Air Force Eng. Univ., Xi'an, China; Inst. of Eng., Air Force Eng. Univ., Xi'an, China","2011 Fourth International Symposium on Computational Intelligence and Design","17 Nov 2011","2011","2","","322","325","Integrated modular avionics (IMA) is widely adopted by avionics industry to achieve substantial cost reduction in the development, operation and maintenance of airplanes. To meet recommended real-time and fault-tolerance requirements of IMA software architecture, the operating system (OS) should support spatial and temporal partitioning in order to integrate different applications. However, the schedulability test of partition scheduling is undetermined. We regard non-partition scheduling time as a pseudo-task with highest priority and give the schedulability test of partition scheduling based on rate monotonic (RM) algorithm. With the test, the scheduling requirement can be conducted. Through an example, the computing of scheduling parameters is proposed and three cyclic scheduling strategies at the OS level are constructed. The schedulability test can be used to validate the scheduling parameters of temporal partitioning in IMA.","","978-1-4577-1085-8","10.1109/ISCID.2011.183","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6079802","avionics software;temporal partitioning;schedulability;rate monotonic algorithm;integrated modular avionics","Processor scheduling;Aerospace electronics;Schedules;Partitioning algorithms;Job shop scheduling;Servers","aerospace computing;avionics;operating systems (computers);scheduling;software architecture","schedulability research;partition scheduling;IMA;integrated modular avionics;cost reduction;fault-tolerance requirements;real-time requirements;software architecture;operating system;OS;rate monotonic;RM","","2","","10","","17 Nov 2011","","","IEEE","IEEE Conferences"
"Skyline Preference Query Based on Massive and Incomplete Dataset","Y. Wang; Z. Shi; J. Wang; L. Sun; B. Song","School of Information, Liaoning University, Shenyang, China; School of Information, Liaoning University, Shenyang, China; School of Information, Liaoning University, Shenyang, China; School of Information, Liaoning University, Shenyang, China; School of Information, Liaoning University, Shenyang, China","IEEE Access","20 May 2017","2017","5","","3183","3192","Personalized recommendation and the processing of real-time data exemplify the processing of massive data which in the field of Internet-of-Things (IoT) received a great extent of attention in recent literature. The incompleteness of massive data in the IoT is widespread. Obtaining personalized information from the incomplete data set is still puzzled by searching efficient and accurate methods at present. Skyline query is a widely used data processing method, especially in the field of multi-objective decision analysis and data visualization. To eliminate the negative effects on massive data processing in IoT, a novel skyline preference query strategy based on massive and the incomplete data set is proposed in this paper. This strategy simply separates and divides massive and incomplete data set into two parts according to dimension importance and executes skyline query, respectively. The strategy mainly resolves the problem of extracting personalized information from massive and incomplete data set and improves the efficiency of skyline query on massive and incomplete data set. First, this paper presents a skyline preference query strategy based on strict clustering and implements it on dimensions that have higher importance. Second, a skyline preference query strategy based on loose clustering is implemented on dimensions that have lower importance. Finally, integrating local skyline query results, this paper calculates global skyline query results by using information entropy theory. The efficiency and effectiveness of Skyline Preference Query (SPQ) algorithm have been evaluated in terms of response time and result set size through the comparative experiments with ISkyline algorithm and sort-based incomplete data skyline algorithm. A large number of simulation results show that the efficiency of SPQ algorithm is higher than that of other common methods.","2169-3536","","10.1109/ACCESS.2016.2639558","National Natural Science Foundation of China; National Key Basic Pre-Research Program of China; Foundation of Science Public Welfare of Liaoning Province in China; Fundamental Research Funds for the Central Universities; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7858739","Internet of things;incomplete data processing;skyline query;information entropy","Encoding;Clustering algorithms;Internet of Things;Data processing;Data mining;Information entropy;Cyber-physical systems","data handling;data visualisation;Internet of Things;query processing","incomplete dataset;personalized recommendation;real-time data;Internet of Things;IoT;personalized information;multiobjective decision analysis;data visualization;massive data processing;skyline preference query strategy;global skyline query;information entropy theory;SPQ algorithm;ISkyline algorithm;sort-based incomplete data skyline algorithm","","13","","23","","17 Feb 2017","","","IEEE","IEEE Journals"
